UDISE Code,School Name,District,Block,State,Management,Category,PIN Code
"24190405201","LILIPURA PRI. SCH.","VADODARA","NANI KORAL","Gujarat","Local body","Primary","391210"
"24190406302","SHREE P.K.R.R VIDYALAYA","VADODARA","MOTI KORAL","Gujarat","Government Aided","Secondary Only","393105"
"24190406401","NANI KORAL PRI. SCH.","VADODARA","NANI KORAL","Gujarat","Local body","Primary","393105"
"24190406301","MOTI KORAL PRI. SCH.","VADODARA","MOTI KORAL","Gujarat","Local body","Primary with Upper Primary","393105"
"24190407101","PURA PRI. SCH.","VADODARA","PURA","Gujarat","Local body","Primary","393105"
"24190400101","AALAMPURA PRI. SCH.","VADODARA","AALAMPURA","Gujarat","Local body","Primary","393105"
"24190403001","JUNA SHAYAR PRI. SCH.","VADODARA","JUNA SHAYAR","Gujarat","Local body","Primary","393105"
"24190407501","SAGDOL PRI. SCH.","VADODARA","SAGDOL","Gujarat","Local body","Primary with Upper Primary","393105"
"24190407502","AALAMPURA COLONY SCH.","VADODARA","SAGDOL","Gujarat","Local body","Primary","393105"
"24190407304","LITTLE FLOWERS SCHOOL GUJ","VADODARA","RAROD","Gujarat","Private Unaided (Recognized)","Primary with Upper Primary","393105"
"24190407305","BAL GOPAL SCHOOL","VADODARA","RAROD","Gujarat","Private Unaided (Recognized)","Primary","393105"
"24190407001","PUNIT PURA PRI. SCH.","VADODARA","PURA","Gujarat","Local body","Primary","393105"
"24190409701","OZ PRI. SCH.","VADODARA","OZ","Gujarat","Local body","Primary with Upper Primary","393105"
"24190407301","RAROD PRI. SCH.","VADODARA","RAROD","Gujarat","Local body","Primary with Upper Primary","393105"
"24190405402","RAHMANI PRI. SCH.","VADODARA","MALOD","Gujarat","Private Unaided (Recognized)","Primary with Upper Primary","393105"
"24190407303","SHRI PATEL J N T SARV HIGH SCHOOL","VADODARA","RAROD","Gujarat","Government Aided","Secondary Only","393105"
"24190400601","ARJANPURA PRI. SCH.","VADODARA","ARJANPURA","Gujarat","Local body","Primary","392220"
"24190408701","SOMAJ PRI. SCH.","VADODARA","SOMAJ","Gujarat","Local body","Primary","392220"
"24190406501","NAVA SHAYAR PRI. SCH.","VADODARA","NAVA SHAYAR","Gujarat","Local body","Primary","393105"
"24190401601","DELVADA PRI. SCH.","VADODARA","DELVADA","Gujarat","Local body","Primary","392220"
"24190405401","MALOD PRI. SCH.","VADODARA","MALOD","Gujarat","Local body","Primary with Upper Primary","393105"
"24190405303","SARKARI UCHCHATTAR MADHYAMIK SHALA LILOD","VADODARA","LILOD","Gujarat","Department of Education","Higher Secondary only/Jr. College","393105"
"24190405302","SARKARI MADHYAMIK SHALA LILOD","VADODARA","LILOD","Gujarat","Department of Education","Secondary Only","393105"
"24190405301","LILOD PRI. SCH.","VADODARA","LILOD","Gujarat","Local body","Primary with Upper Primary","393105"
"24190405901","MATROJ PRI. SCH.","VADODARA","MATROJ","Gujarat","Local body","Primary with Upper Primary","392220"
"24190406801","PACHHIYAPURA PRI. SCH.","VADODARA","PACHHIYAPURA","Gujarat","Local body","Primary with Upper Primary","392220"
"24190406802","SHREE RANGAVDHOOT VIDHYALAYA","VADODARA","PACHHIYAPURA","Gujarat","Government Aided","Secondary Only","392220"
"24190407401","ROPA PRI. SCH.","VADODARA","ROPA","Gujarat","Local body","Primary with Upper Primary","393105"
"24191001701","MALSAR PRI.SCH.","VADODARA","MALSAR","Gujarat","Local body","Primary with Upper Primary","391115"
"24190402601","HALDARVA PRI. SCH.","VADODARA","HALDARVA","Gujarat","Local body","Primary with Upper Primary","392220"
"24190402901","HIRJIPURA PRI. SCH.","VADODARA","HIRJIPURA","Gujarat","Local body","Primary","391244"
"24190408201","SARING PRI. SCH.","VADODARA","SARING","Gujarat","Local body","Primary with Upper Primary","392220"
"24190408501","SHERPURA PRI. SCH.","VADODARA","SHERPURA","Gujarat","Local body","Primary","393105"
"24190408301","SHANAPURA PRI. SCH.","VADODARA","SHANAPURA","Gujarat","Local body","Primary","392220"
"24190402602","NOORI GIRLS PRIMARY SHALA","VADODARA","HALDARVA","Gujarat","Private Unaided (Recognized)","Pri. Upper Pri. and Secondary Only","392220"
"24190403201","KAHONA PRI. SCH.","VADODARA","KAHONA","Gujarat","Local body","Primary","391210"
"24190409801","KARAN PRI. SCH.","VADODARA","KARAN","Gujarat","Local body","Primary","392220"
"24190408104","THE SANSROD HIGH SCHOOL PRIMARY SECTION","VADODARA","SANSROD","Gujarat","Private Unaided (Recognized)","Primary with Upper Primary","392220"
"24190408102","SANSROD KANYA PRI. SCH.","VADODARA","SANSROD","Gujarat","Local body","Primary with Upper Primary","392220"
"24190408101","SANSROD KUMAR PRI. SCH.","VADODARA","SANSROD","Gujarat","Local body","Primary with Upper Primary","392220"
"24190402301","FATEPUR PRI. SCH.","VADODARA","FATEPURA","Gujarat","Local body","Primary","391250"
"24191001801","MANDAVA PRI.SCH.","VADODARA","MANDAVA","Gujarat","Local body","Primary with Upper Primary","391115"
"24190409501","SAMRA PRI. SCH.","VADODARA","SAMRA","Gujarat","Local body","Primary","391244"
"24190408105","THE SANSROD HIGH SCHOOL","VADODARA","SANSROD","Gujarat","Government Aided","Secondary with Higher Secondary","392220"
"24191003006","J.C PATEL HIGH SCHOOL","VADODARA","SHINOR","Gujarat","Government Aided","Secondary with Higher Secondary","391115"
"24191003001","V.C. PATEL PRI.SCH.","VADODARA","SHINOR","Gujarat","Local body","Primary with Upper Primary","391115"
"24191003007","J.C PATEL SARVAJANIK GRANTED PRI SCHOOL","VADODARA","SHINOR","Gujarat","Government Aided","Upper Primary only","351115"
"24191003002","U.J. PATEL KANYA PRI.SCH.","VADODARA","SHINOR","Gujarat","Local body","Primary with Upper Primary","391115"
"24191003005","J.C PATEL HIGH SCHOOL (PRIMARY)","VADODARA","SHINOR","Gujarat","Private Unaided (Recognized)","Primary","391115"
"24190408001","SANIYAD PRI. SCH.","VADODARA","SANIYAD","Gujarat","Local body","Primary","391244"
"24190401701","DEROLI PRI. SCH.","VADODARA","DEROLI","Gujarat","Local body","Primary","391250"
"24191000401","BARKAL PRI.SCH.","VADODARA","BARKAL","Gujarat","Local body","Primary with Upper Primary","391105"
"24191000403","SHRI VYASESHVER VIDYALAYA","VADODARA","BARKAL","Gujarat","Government Aided","Secondary Only","391105"
"24190404502","SHREEJIKRUPA SARVAJANIK VIDYALAYA","VADODARA","KOLIYAD","Gujarat","Government Aided","Secondary Only","392220"
"24190404501","KOLIYAD SHRESHTH PRI. SCH.","VADODARA","KOLIYAD","Gujarat","Local body","Primary with Upper Primary","392220"
"24190408401","SHARUPUR TIMBI PRI. SCH.","VADODARA","SHARUPUR TIMBI","Gujarat","Local body","Primary","392220"
"24190406001","MESRAD PRI. SCH.","VADODARA","MESRAD","Gujarat","Local body","Primary with Upper Primary","392220"
"24190408103","MANKAN SHRESTH PRI. SCH.","VADODARA","SANSROD","Gujarat","Local body","Primary with Upper Primary","392220"
"24190407801","SAMRI PRI. SCH.","VADODARA","SAMRI","Gujarat","Local body","Primary with Upper Primary","391244"
"24191002103","AMBALI PRIMARY SHALA","VADODARA","MOTA FOFALIYA","Gujarat","Local body","Primary","391115"
"24191003201","SURA SHAMAL PRI.SCH.","VADODARA","SURA SHAMAL","Gujarat","Local body","Primary with Upper Primary","391115"
"24191001401","KANJETHA PRI.SCH.","VADODARA","KANJETHA","Gujarat","Local body","Primary","391115"
"24190403822","BLUEMOON INTERNATIONAL SCHOOL ENG.MED.","VADODARA","KARJAN","Gujarat","Private Unaided (Recognized)","Pri. with Upper Pri. Sec. and H.Sec.","392220"
"24190402201","DIVI SHRESTH PRI. SCH.","VADODARA","DIVI","Gujarat","Local body","Primary","392310"
"24190404701","KOTHIYA PRI. SCH.","VADODARA","KOTHIYA","Gujarat","Local body","Primary with Upper Primary","391250"
"24191000402","BARKAL KOLONY PRI.SCH.","VADODARA","BARKAL","Gujarat","Local body","Primary","391105"
"24191004101","DAMAPURA PRI. SHALA","VADODARA","DAMAPURA","Gujarat","Local body","Primary","391115"
"24190407201","RANAPUR PRI. SCH.","VADODARA","RANAPUR","Gujarat","Local body","Primary with Upper Primary","391250"
"24191003901","ZANZAD PRI.SCH.","VADODARA","ZANZAD","Gujarat","Local body","Primary with Upper Primary","391115"
"24190409001","URAD PRI. SCH.","VADODARA","URAD","Gujarat","Local body","Primary","391244"
"24191000701","MOLETHA PRI.SCH.","VADODARA","MOLETHA","Gujarat","Local body","Primary","391105"
"24190405101","LATIPUR TIMBI PRI. SCH.","VADODARA","LATIPUR TIMBI","Gujarat","Local body","Primary","391244"
"24191001201","DIVER PRI.SCH.","VADODARA","DIVER","Gujarat","Local body","Primary","391250"
"24190403301","KALA PRI. SCH.","VADODARA","KALA","Gujarat","Local body","Primary","391244"
"24190403302","NEW RAYS SCHOOL ENG","VADODARA","KALA","Gujarat","Private Unaided (Recognized)","Primary with Upper Primary","391244"
"24191002001","MINDHOL PRI.SCH.","VADODARA","MINDHOL","Gujarat","Local body","Primary","391250"
"24190403701","KANTHARIYA PRI. SCH.","VADODARA","KANTHARIYA","Gujarat","Local body","Primary","391244"
"24190409104","THE SARVODAY HIGH SCH.","VADODARA","VALAN","Gujarat","Private Unaided (Recognized)","Pri. Upper Pri. and Secondary Only","392310"
"24191002102","MOTA FOFALIYA VARG PRI.SCH.","VADODARA","MOTA FOFALIYA","Gujarat","Local body","Primary","391115"
"24190404401","KIYA PRI. SCH.","VADODARA","KIYA","Gujarat","Local body","Primary with Upper Primary","392310"
"24190409105","THE VALAN HIGH SCH.","VADODARA","VALAN","Gujarat","Private Unaided (Recognized)","Upper Primary only","392310"
"24190409103","THE VALAN HIGH SCH.","VADODARA","VALAN","Gujarat","Government Aided","Secondary with Higher Secondary","392310"
"24190409101","VALAN KUMAR PRI. SCH.","VADODARA","VALAN","Gujarat","Local body","Primary with Upper Primary","392310"
"24190400802","SUFISAINT FAIZ ACADEMY SCH.","VADODARA","KALA","Gujarat","Private Unaided (Recognized)","Pri. with Upper Pri. Sec. and H.Sec.","391244"
"24190409102","DAKRI MEMORIAL GIRLS PRI. SCH.","VADODARA","VALAN","Gujarat","Local body","Primary with Upper Primary","392310"
"24190408602","SHRI SIMLI SARV. VIDYAMANDIR","VADODARA","SIMLI","Gujarat","Government Aided","Secondary Only","391244"
"24190408601","SIMLI PRI. SCH.","VADODARA","SIMLI","Gujarat","Local body","Primary with Upper Primary","391244"
"24190400801","BACHAR PRI. SCH.","VADODARA","BACHAR","Gujarat","Local body","Primary with Upper Primary","391244"
"24191002101","MOTA FOFALIYA PRI.SCH.","VADODARA","MOTA FOFALIYA","Gujarat","Local body","Primary with Upper Primary","391115"
"24191002106","SHRI N.C.PATEL BHARATIYA VIDYALAYA","VADODARA","MOTA FOFALIYA","Gujarat","Government Aided","Secondary with Higher Secondary","391115"
"24191002104","SHREE CHHOTUBHAI A PATEL LEARNING INSTITUTE -GUJ. MED.","VADODARA","MOTA FOFALIYA","Gujarat","Private Unaided (Recognized)","Pri. with Upper Pri. Sec. and H.Sec.","391115"
"24191002105","SHREE CHHOTUBHAI A PATEL LEARNING INSTITUTE -ENG.MED.","VADODARA","MOTA FOFALIYA","Gujarat","Private Unaided (Recognized)","Pri. with Upper Pri. Sec. and H.Sec.","391115"
"24190400701","ATALI PRI. SCH.","VADODARA","ATALI","Gujarat","Local body","Primary","391244"
"24191001901","MANJROL PRI.SCH.","VADODARA","MANJROL","Gujarat","Local body","Primary","391250"
"24191001101","DARIYA PURA PRI.SCH.","VADODARA","DARIYAPURA","Gujarat","Local body","Primary","391105"
"24190407202","OMKAR VIDYAMANDIR","VADODARA","RANAPUR","Gujarat","Government Aided","Secondary Only","391250"
"24190401301","CHHANCHHVA PRI. SCH.","VADODARA","CHHANCHHVA","Gujarat","Local body","Primary","391244"
"24191000501","BAVALIYA PRI.SCH.","VADODARA","BAVALIYA","Gujarat","Local body","Primary","391250"
"24191001501","KUKAS PRI.SCH.","VADODARA","KUKAS","Gujarat","Local body","Primary with Upper Primary","391250"
"24190406101","METHI PRI. SCH.","VADODARA","METHI","Gujarat","Local body","Primary with Upper Primary","391210"
"24191000801","BITHALI PRI.SCH.","VADODARA","BITHLI","Gujarat","Local body","Primary with Upper Primary","391105"
"24190212301","NANDERIYA PRI. SCHOOL","VADODARA","NANDERIYA","Gujarat","Local body","Primary","391105"
"24190406102","PUJYA SHREE JASUBASWAMI VIDYA MANDIR","VADODARA","METHI","Gujarat","Government Aided","Secondary with Higher Secondary","391240"
"24190401801","DETHAN PRI. SCH.","VADODARA","DETHAN","Gujarat","Local body","Primary with Upper Primary","391244"
"24191002202","MOTA KARALA N.V. PRI.SCH.","VADODARA","MOTA KARALA","Gujarat","Local body","Primary","391105"
"24190401802","SARKARI MADHYAMIK SHALA DETHAN","VADODARA","DETHAN","Gujarat","Department of Education","Secondary Only","391244"
"24191002609","SADHALI SHRESTH PRIMARY SCHOOL ( ENG MED)","VADODARA","SADHLI","Gujarat","Local body","Primary","391250"
"24191002602","SADHALI SHRESTH PRI SCH","VADODARA","SADHLI","Gujarat","Local body","Primary with Upper Primary","391250"
"24191003401","TERSA PRI.SCH.","VADODARA","TERSA","Gujarat","Local body","Primary","391250"
"24191003102","SIMLI VASAHAT PRI.SCH.","VADODARA","SIMLI","Gujarat","Local body","Primary with Upper Primary","391105"
"24190204901","KARNALI PRIMARY SCHOOL","VADODARA","KARNALI","Gujarat","Local body","Primary with Upper Primary","391110"
"24191002606","MANAN VIDHALAY SHADHALI (ENG)","VADODARA","SADHLI","Gujarat","Private Unaided (Recognized)","Primary","391250"
"24191002604","MANAN VIDHALAY SHADHALI (GUJ)","VADODARA","SADHLI","Gujarat","Private Unaided (Recognized)","Primary with Upper Primary","391250"
"24190202001","BHIMPURA PRIMARY SCHOOL","VADODARA","BHIMPURA","Gujarat","Local body","Primary","391105"
"24190202306","SHREE ANIRUDDHACHARYA SANSKRIT MAHAVIDYALAY","VADODARA","CHANDOD","Gujarat","Government Aided","Secondary with Higher Secondary","391105"
"24190401401","CHORANDA PRI. SCH.","VADODARA","CHORANDA","Gujarat","Local body","Primary with Upper Primary","391244"
"24191003701","UTRAJ PRI.SCH.","VADODARA","UTRAJ","Gujarat","Local body","Primary with Upper Primary","391250"
"24190409601","OSRAM PRI. SCH.","VADODARA","OSRAM","Gujarat","Local body","Primary with Upper Primary","391244"
"24191002603","SHRVAN SANSKAR VIDHALAY","VADODARA","SADHLI","Gujarat","Private Unaided (Recognized)","Primary with Upper Primary","391250"
"24191002608","SHRVAN SANSKAR VIDHYALAY(ENG)","VADODARA","SADHLI","Gujarat","Private Unaided (Recognized)","Primary with Upper Primary","391250"
"24191003101","SIMLI PRI.SCH.","VADODARA","SIMLI","Gujarat","Local body","Primary","391105"
"24191002607","BHARAT VIDHALAYA SADHALI","VADODARA","SADHLI","Gujarat","Government Aided","Secondary with Higher Secondary","391250"
"24190202302","CHANDOD KANYA PRI.SCH.","VADODARA","CHANDOD","Gujarat","Local body","Primary with Upper Primary","391105"
"24191002605","BHARATA VIDHALAY SHADHALI (PRIMARY SECTION)","VADODARA","SADHLI","Gujarat","Government Aided","Primary with Upper Primary","391250"
"24190202301","CHANDOD KUMAR PRI.SCH.","VADODARA","CHANDOD","Gujarat","Local body","Primary with Upper Primary","391105"
"24190203901","JUNA MANDAVA PRIMARY SCHOOL","VADODARA","JUNA MANDAVA","Gujarat","Local body","Primary","391105"
"24190202304","AADARSH PRIMARY SCHOOL","VADODARA","CHANDOD","Gujarat","Private Unaided (Recognized)","Primary","391105"
"24190405001","LAKODARA PRI. SCH.","VADODARA","LAKODARA","Gujarat","Local body","Primary with Upper Primary","391244"
"24190204903","PIPALIYA PRIMARY SCHOOL","VADODARA","KARNALI","Gujarat","Local body","Primary","391105"
"24190202303","B N HIGH SCH CHANDOD","VADODARA","CHANDOD","Gujarat","Government Aided","Upper Primary only","391105"
"24190202305","SHREE B.N. SEC & HIGH SEC SCHOOL","VADODARA","CHANDOD","Gujarat","Government Aided","Secondary with Higher Secondary","391105"
"24190401402","SHREE KANAM VIDYAMANDIR","VADODARA","CHORANDA","Gujarat","Government Aided","Secondary Only","391244"
"24190401403","SHREE KANAM VIDYAMANDIR (PRIMARY)","VADODARA","CHORANDA","Gujarat","Government Aided","Upper Primary only","391244"
"24191002203","SHRI SARVAJANIK HIGH SCHOOL","VADODARA","MOTA KARALA","Gujarat","Government Aided","Secondary Only","391105"
